v1,year,bristol,bristol_pred,bristol_error
1,1998,49.130001,48.547832,.58216858
2,1999,51.75,50.975811,.774189
3,2000,54.34,53.40379,.93621063
4,2001,55.630001,55.831768,-.20176697
5,2002,57.419998,58.259747,-.83974838
6,2003,59.34,60.687725,-1.3477249
7,2004,60.970001,63.115704,-2.1457024
8,2005,63.950001,65.543678,-1.5936775
9,2006,65.989998,67.971657,-1.9816589
10,2007,68.139999,70.399635,-2.2596359
11,2008,71.260002,72.827614,-1.5676117
12,2009,75.139999,75.255592,-.11559296
13,2010,78.730003,77.683571,1.0464325
14,2011,79.269997,80.111549,-.84155273
15,2012,83.580002,82.539528,1.0404739
16,2013,88.059998,84.967506,3.0924911
17,2014,92.029999,87.395485,4.6345139
18,2015,95.879997,89.823463,6.0565338
19,2016,98.660004,92.251442,6.4085617
20,2017,97.410004,94.67942,2.7305832
21,2018,97.830002,97.107399,.72260284
22,2019,96.699997,99.535378,-2.8353806
23,2020,95.790001,101.96336,-6.1733551
24,2021,98.269997,104.39133,-6.1213379
